,PLAYER_ID,PLAYER,BAYESIAN_3P%,LOWER_BOUND,UPPER_BOUND,SEASON_3P%,HISTORICAL_3P%
299,202694,Marcus Morris Sr.,0.37861345612689323,0.2802802802802803,0.47647647647647645,0.43333333333333335,0.3786134561268867
311,1630227,Daishen Nix,0.2831325321719079,0.18518518518518517,0.3813813813813814,0.4,0.28313253012048195
317,1629643,Chuma Okeke,0.32274247493313907,0.22522522522522523,0.42042042042042044,0.36,0.32274247491638797
320,1630171,Isaac Okoro,0.33025830258929323,0.23223223223223222,0.42842842842842843,0.36363636363636365,0.33025830258302585
321,203482,Kelly Olynyk,0.364435946462769,0.26626626626626626,0.4624624624624625,0.40625,0.3644359464627151
322,1630647,Eugene Omoruyi,0.28333333533853483,0.18518518518518517,0.3813813813813814,0.29411764705882354,0.2833333333333333
323,1626224,Cedi Osman,0.35340461451911537,0.2552552552552553,0.45145145145145144,0.3565217391304348,0.353404614518852
324,1626162,Kelly Oubre Jr.,0.3283261802655977,0.23023023023023023,0.4264264264264264,0.3739130434782609,0.3283261802575107
326,1626166,Cameron Payne,0.3548102383055997,0.25725725725725723,0.45245245245245247,0.38,0.35481023830538394
328,1641809,Drew Peterson,0.03957680225409487,0.001001001001001001,0.11211211211211211,1.0,0.0
335,1629007,Jontay Porter,0.37500000000001116,0.2772772772772773,0.47347347347347346,0.4,0.375
344,1627752,Taurean Prince,0.3738959764475109,0.27627627627627627,0.47147147147147145,0.3915343915343915,0.37389597644749756
348,1630193,Immanuel Quickley,0.3668690372940534,0.26926926926926925,0.46446446446446443,0.3950617283950617,0.3668690372940156
351,1641871,Duop Reath,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.37209302325581395,0.0
367,1626156,D'Angelo Russell,0.3663822919068886,0.2682682682682683,0.46446446446446443,0.3878787878787879,0.36638229190684807
368,1630346,Matt Ryan,0.37572254335261135,0.2772772772772773,0.47347347347347346,0.47058823529411764,0.37572254335260113
372,203967,Dario Saric,0.36253776435052426,0.26426426426426425,0.46046046046046046,0.39552238805970147,0.36253776435045315
373,1630846,Olivier Sarr,0.3783783783783852,0.2802802802802803,0.47647647647647645,0.4,0.3783783783783784
377,1631220,Dereon Seabron,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.5,0.0
389,1630188,Jalen Smith,0.30530973466344347,0.2072072072072072,0.4034034034034034,0.5,0.3053097345132743
395,1630205,Lamar Stevens,0.2810810836679409,0.1831831831831832,0.3793793793793794,0.2857142857142857,0.2810810810810811
400,1631306,Cole Swider,0.37500000000001127,0.2772772772772773,0.47347347347347346,0.38461538461538464,0.375
404,202066,Garrett Temple,0.34315789473794217,0.24524524524524524,0.44144144144144143,1.0,0.3431578947368421
414,1630167,Obi Toppin,0.3253493014091473,0.2272272272272272,0.42342342342342343,0.39166666666666666,0.3253493013972056
416,1629018,Gary Trent Jr.,0.3837535014005632,0.2852852852852853,0.48148148148148145,0.3850574712643678,0.38375350140056025
417,200782,P.J. Tucker,0.3637042569082004,0.2652652652652653,0.46146146146146144,0.4,0.3637042569081404
420,1630649,Stanley Umude,0.03957680225409486,0.001001001001001001,0.11211211211211211,0.5185185185185185,0.0
421,202685,Jonas Valanciunas,0.35144312393922683,0.25325325325325326,0.4494494494494494,0.36363636363636365,0.35144312393887944
430,1629021,Moritz Wagner,0.32147937413066985,0.22322322322322322,0.4194194194194194,0.3275862068965517,0.32147937411095306
434,1629022,Lonnie Walker IV,0.34869739479008977,0.2502502502502503,0.44644644644644643,0.4489795918367347,0.3486973947895792
437,1631102,TyTy Washington Jr.,0.23750023969964834,0.13913913913913914,0.3353353353353353,0.5,0.2375
439,1630322,Lindy Waters III,0.36038961038970746,0.26226226226226224,0.45845845845845845,0.41935483870967744,0.36038961038961037
440,1630570,Trendon Watford,0.3333333333374979,0.23523523523523523,0.4314314314314314,0.36363636363636365,0.3333333333333333
449,1630598,Aaron Wiggins,0.3461538461545735,0.24824824824824826,0.4444444444444444,0.47058823529411764,0.34615384615384615
452,1630314,Brandon Williams,0.2924528308889472,0.1941941941941942,0.39039039039039036,1.0,0.29245283018867924
462,1630592,Jalen Wilson,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.25,0.0
463,1629685,Dylan Windler,0.3221476510248004,0.22422422422422422,0.42042042042042044,0.5,0.3221476510067114
